home, homescore, awayscore, away, date, group
Bologna, 3, 1, Chievo Verona, "Sunday, January 18, 2004", "Renato Dall'Ara (20,000)"
Internazionale, 0, 1, Empoli, "Sunday, January 18, 2004", "San Siro (60,000)"
Juventus, 4, 2, Siena, "Sunday, January 18, 2004", "Delle Alpi (30,974)"
Reggina, 1, 3, Lecce, "Sunday, January 18, 2004", "Stadio Granillo (20,000)"
Brescia, 0, 1, AC Milan, "Sunday, January 18, 2004", "Mario Rigamonti (20,000)"
Modena, 1, 1, Lazio, "Saturday, January 17, 2004", "Stadio Alberto Braglia (14,000)"
Udinese, 1, 1, Parma, "Saturday, January 17, 2004", "Friuli (12,000)"
AC Milan, 3, 1, Reggina, "Sunday, January 11, 2004", "San Siro (62,000)"
Empoli, 2, 0, Ancona, "Sunday, January 11, 2004", "Carlo Castellani (4,000)"
Lazio, 0, 1, Brescia, "Sunday, January 11, 2004", "Stadio Olimpico (45,000)"
Perugia, 0, 1, AS Roma, "Sunday, January 11, 2004", "Renato Curi (22,000)"
Sampdoria, 1, 2, Juventus, "Sunday, January 11, 2004", "Luigi Ferraris (38,000)"
Siena, 4, 0, Modena, "Sunday, January 11, 2004", "Artemio Franchi (15,000)"
Lecce, 1, 2, Bologna, "Sunday, January 11, 2004", "Via del Mare (11,979)"
Chievo Verona, 0, 0, Udinese, "Saturday, January 10, 2004", "Bentegodi (10,193)"
Parma, 1, 0, Internazionale, "Saturday, January 10, 2004", "Ennio Tardini (22,302)"
Ancona, 0, 2, Parma, "Tuesday, January 6, 2004", "Del Conero (10,000)"
Bologna, 2, 1, Empoli, "Tuesday, January 6, 2004", "Renato Dall'Ara (20,000)"
Brescia, 4, 2, Siena, "Tuesday, January 6, 2004", "Mario Rigamonti (20,000)"
Internazionale, 3, 1, Lecce, "Tuesday, January 6, 2004", "San Siro (55,000)"
Juventus, 1, 0, Perugia, "Tuesday, January 6, 2004", "Delle Alpi (41,500)"
Modena, 0, 3, Chievo Verona, "Tuesday, January 6, 2004", "Stadio Alberto Braglia (14,000)"
Reggina, 2, 1, Lazio, "Tuesday, January 6, 2004", "Stadio Granillo (25,000)"
Udinese, 0, 1, Sampdoria, "Tuesday, January 6, 2004", "Friuli (13,000)"
AS Roma, 1, 2, AC Milan, "Tuesday, January 6, 2004", "Olimpico (73,383)"
AC Milan, 1, 2, Udinese, "Sunday, December 21, 2003", "San Siro (60,000)"
Chievo Verona, 1, 0, Ancona, "Sunday, December 21, 2003", "Bentegodi (11,000)"
Lecce, 1, 1, Juventus, "Sunday, December 21, 2003", "Via del Mare (30,325)"
Perugia, 2, 2, Brescia, "Sunday, December 21, 2003", "Renato Curi (12,000)"
Sampdoria, 1, 1, Modena, "Sunday, December 21, 2003", "Luigi Ferraris (26,000)"
Siena, 0, 0, Bologna, "Sunday, December 21, 2003", "Artemio Franchi (9,000)"
Lazio, 2, 1, Internazionale, "Sunday, December 21, 2003", "Stadio Olimpico (55,000)"
Parma, 1, 2, Reggina, "Saturday, December 20, 2003", "Ennio Tardini (17,000)"
Empoli, 0, 2, AS Roma, "Saturday, December 20, 2003", "Carlo Castellani (15,000)"
Ancona, 0, 1, Lazio, "Sunday, December 14, 2003", "Del Conero (12,000)"
