home, homescore, awayscore, away, date, group
Sevilla FC, 3, 0, Sporting Gijon, "Tuesday, March 1, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (25,000)
Malaga, 3, 1, Almeria, "Monday, February 28, 2011", La Rosaleda (20,000)
Hercules, 0, 0, Getafe, "Sunday, February 27, 2011", JosÃ© Rico PÃ©rez (20,000)
Levante, 2, 1, Osasuna, "Sunday, February 27, 2011", Ciutat de Valencia (15,000)
Racing Santander, 2, 2, Villarreal, "Sunday, February 27, 2011", El Sardinero (18,000)
Athletic Bilbao, 1, 2, Valencia, "Sunday, February 27, 2011", San MamÃ©s (40,000)
Atletico Madrid, 2, 2, Sevilla FC, "Saturday, February 26, 2011", Vicente CalderÃ³n (45,000)
Espanyol, 4, 1, Real Sociedad, "Saturday, February 26, 2011", CornellÃ¡ - El Prat (25,000)
Sporting Gijon, 0, 0, Real Zaragoza, "Saturday, February 26, 2011", El MolinÃ³n (19,000)
Mallorca, 0, 3, Barcelona, "Saturday, February 26, 2011", Iberostar Estadi (20,000)
Deportivo La CoruÃ±a, 0, 0, Real Madrid, "Saturday, February 26, 2011", Municipal de Riazor (31,000)
Real Sociedad, 1, 0, Mallorca, "Monday, February 21, 2011", Anoeta (22,000)
Almeria, 1, 1, Deportivo La CoruÃ±a, "Sunday, February 20, 2011", Juegos MediterrÃ¡neos (10,000)
Getafe, 0, 1, Racing Santander, "Sunday, February 20, 2011", Coliseum Alfonso PÃ©rez (11,000)
Osasuna, 4, 0, Espanyol, "Sunday, February 20, 2011", Reyno de Navarra (16,000)
Villarreal, 1, 1, Malaga, "Sunday, February 20, 2011", El Madrigal (16,000)
Sevilla FC, 1, 0, Hercules, "Sunday, February 20, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (25,000)
Barcelona, 2, 1, Athletic Bilbao, "Sunday, February 20, 2011", Camp Nou (85,000)
Valencia, 0, 0, Sporting Gijon, "Saturday, February 19, 2011", Mestalla (40,000)
Real Madrid, 2, 0, Levante, "Saturday, February 19, 2011", Santiago BernabÃ©u (63,000)
Real Zaragoza, 0, 1, Atletico Madrid, "Saturday, February 19, 2011", La Romareda (30,000)
Mallorca, 1, 0, Athletic Bilbao, "Monday, February 14, 2011", Iberostar Estadi (13,000)
Hercules, 2, 1, Real Zaragoza, "Sunday, February 13, 2011", JosÃ© Rico PÃ©rez (25,500)
Levante, 1, 0, Almeria, "Sunday, February 13, 2011", Ciutat de Valencia (11,000)
Malaga, 2, 2, Getafe, "Sunday, February 13, 2011", La Rosaleda (24,000)
Real Sociedad, 1, 0, Osasuna, "Sunday, February 13, 2011", Anoeta (25,000)
Deportivo La CoruÃ±a, 1, 0, Villarreal, "Sunday, February 13, 2011", Municipal de Riazor (18,000)
