home, homescore, awayscore, away, date, time
Aston Villa, 2, 1, West Brom, Saturday 11 December 2010, 15:00
Everton, 0, 0, Wigan, Saturday 11 December 2010, 15:00
Fulham, 0, 0, Sunderland, Saturday 11 December 2010, 15:00
Stoke, 0, 1, Blackpool, Saturday 11 December 2010, 15:00
West Ham, 1, 3, Man City, Saturday 11 December 2010, 15:00
Liverpool, 3, 0, Aston Villa, Monday 6 December 2010, 20:00
Sunderland, 1, 0, West Ham, Sunday 5 December 2010, 16:00
West Brom, 3, 1, Newcastle, Sunday 5 December 2010, 13:30
Arsenal, 2, 1, Fulham, Saturday 4 December 2010, 15:00
Birmingham, 1, 1, Spurs, Saturday 4 December 2010, 15:00
Blackburn, 3, 0, Wolves, Saturday 4 December 2010, 15:00
Chelsea, 1, 1, Everton, Saturday 4 December 2010, 15:00
Man City, 1, 0, Bolton, Saturday 4 December 2010, 15:00
Wigan, 2, 2, Stoke, Saturday 4 December 2010, 15:00
Spurs, 2, 1, Liverpool, Sunday 28 November 2010, 16:00
Newcastle, 1, 1, Chelsea, Sunday 28 November 2010, 13:30
Bolton, 2, 2, Blackpool, Saturday 27 November 2010, 15:00
Everton, 1, 4, West Brom, Saturday 27 November 2010, 15:00
Fulham, 1, 1, Birmingham, Saturday 27 November 2010, 15:00
Man Utd, 7, 1, Blackburn, Saturday 27 November 2010, 15:00
Stoke, 1, 1, Man City, Saturday 27 November 2010, 15:00
West Ham, 3, 1, Wigan, Saturday 27 November 2010, 15:00
Wolves, 3, 2, Sunderland, Saturday 27 November 2010, 15:00
Aston Villa, 2, 4, Arsenal, Saturday 27 November 2010, 12:45
Sunderland, 2, 2, Everton, Monday 22 November 2010, 20:00
Fulham, 1, 4, Man City, Sunday 21 November 2010, 16:00
Blackburn, 2, 0, Aston Villa, Sunday 21 November 2010, 13:30
Liverpool, 3, 0, West Ham, Saturday 20 November 2010, 17:30
Birmingham, 1, 0, Chelsea, Saturday 20 November 2010, 15:00
Blackpool, 2, 1, Wolves, Saturday 20 November 2010, 15:00
Bolton, 5, 1, Newcastle, Saturday 20 November 2010, 15:00
Man Utd, 2, 0, Wigan, Saturday 20 November 2010, 15:00
West Brom, 0, 3, Stoke, Saturday 20 November 2010, 15:00
Arsenal, 2, 3, Spurs, Saturday 20 November 2010, 12:45
Chelsea, 0, 3, Sunderland, Sunday 14 November 2010, 16:10
Everton, 1, 2, Arsenal, Sunday 14 November 2010, 14:00
Stoke, 2, 0, Liverpool, Saturday 13 November 2010, 17:30
Man City, 0, 0, Birmingham, Saturday 13 November 2010, 15:00
Newcastle, 0, 0, Fulham, Saturday 13 November 2010, 15:00
Spurs, 4, 2, Blackburn, Saturday 13 November 2010, 15:00
West Ham, 0, 0, Blackpool, Saturday 13 November 2010, 15:00
Wigan, 1, 0, West Brom, Saturday 13 November 2010, 15:00
Wolves, 2, 3, Bolton, Saturday 13 November 2010, 15:00
Aston Villa, 2, 2, Man Utd, Saturday 13 November 2010, 12:45
Everton, 1, 1, Bolton, Wednesday 10 November 2010, 20:00
Man City, 0, 0, Man Utd, Wednesday 10 November 2010, 20:00
Aston Villa, 3, 2, Blackpool, Wednesday 10 November 2010, 19:45
Chelsea, 1, 0, Fulham, Wednesday 10 November 2010, 19:45
Newcastle, 1, 2, Blackburn, Wednesday 10 November 2010, 19:45
West Ham, 2, 2, West Brom, Wednesday 10 November 2010, 19:45
Wigan, 1, 1, Liverpool, Wednesday 10 November 2010, 19:45
Wolves, 0, 2, Arsenal, Wednesday 10 November 2010, 19:45
Spurs, 1, 1, Sunderland, Tuesday 9 November 2010, 20:00
Stoke, 3, 2, Birmingham, Tuesday 9 November 2010, 19:45
Liverpool, 2, 0, Chelsea, Sunday 7 November 2010, 16:00
West Brom, 0, 2, Man City, Sunday 7 November 2010, 15:00
Arsenal, 0, 1, Newcastle, Sunday 7 November 2010, 13:30
Birmingham, 2, 2, West Ham, Saturday 6 November 2010, 15:00
Blackburn, 2, 1, Wigan, Saturday 6 November 2010, 15:00
Blackpool, 2, 2, Everton, Saturday 6 November 2010, 15:00
Fulham, 1, 1, Aston Villa, Saturday 6 November 2010, 15:00
Man Utd, 2, 1, Wolves, Saturday 6 November 2010, 15:00
Sunderland, 2, 0, Stoke, Saturday 6 November 2010, 15:00
Bolton, 4, 2, Spurs, Saturday 6 November 2010, 12:45
Blackpool, 2, 1, West Brom, Monday 1 November 2010, 20:00
Bolton, 0, 1, Liverpool, Sunday 31 October 2010, 16:00
Newcastle, 5, 1, Sunderland, Sunday 31 October 2010, 13:30
Aston Villa, 0, 0, Birmingham, Sunday 31 October 2010, 12:00
Man Utd, 2, 0, Spurs, Saturday 30 October 2010, 17:30
Arsenal, 1, 0, West Ham, Saturday 30 October 2010, 15:00
Blackburn, 1, 2, Chelsea, Saturday 30 October 2010, 15:00
Everton, 1, 0, Stoke, Saturday 30 October 2010, 15:00
Fulham, 2, 0, Wigan, Saturday 30 October 2010, 15:00
Wolves, 2, 1, Man City, Saturday 30 October 2010, 15:00
Man City, 0, 3, Arsenal, Sunday 24 October 2010, 16:00
Liverpool, 2, 1, Blackburn, Sunday 24 October 2010, 15:00
Stoke, 1, 2, Man Utd, Sunday 24 October 2010, 13:30
West Ham, 1, 2, Newcastle, Saturday 23 October 2010, 17:30
Birmingham, 2, 0, Blackpool, Saturday 23 October 2010, 15:00
Chelsea, 2, 0, Wolves, Saturday 23 October 2010, 15:00
Sunderland, 1, 0, Aston Villa, Saturday 23 October 2010, 15:00
West Brom, 2, 1, Fulham, Saturday 23 October 2010, 15:00
Wigan, 1, 1, Bolton, Saturday 23 October 2010, 15:00
Spurs, 1, 1, Everton, Saturday 23 October 2010, 12:45
Blackburn, 0, 0, Sunderland, Monday 18 October 2010, 20:00
Blackpool, 2, 3, Man City, Sunday 17 October 2010, 16:00
Everton, 2, 0, Liverpool, Sunday 17 October 2010, 13:30
Aston Villa, 0, 0, Chelsea, Saturday 16 October 2010, 17:30
Arsenal, 2, 1, Birmingham, Saturday 16 October 2010, 15:00
Bolton, 2, 1, Stoke, Saturday 16 October 2010, 15:00
Fulham, 1, 2, Spurs, Saturday 16 October 2010, 15:00
Man Utd, 2, 2, West Brom, Saturday 16 October 2010, 15:00
Newcastle, 2, 2, Wigan, Saturday 16 October 2010, 15:00
Wolves, 1, 1, West Ham, Saturday 16 October 2010, 15:00
Chelsea, 2, 0, Arsenal, Sunday 3 October 2010, 16:00
Liverpool, 1, 2, Blackpool, Sunday 3 October 2010, 15:00
Man City, 2, 1, Newcastle, Sunday 3 October 2010, 13:30
Birmingham, 0, 2, Everton, Saturday 2 October 2010, 15:00
Stoke, 1, 0, Blackburn, Saturday 2 October 2010, 15:00
Sunderland, 0, 0, Man Utd, Saturday 2 October 2010, 15:00
Spurs, 2, 1, Aston Villa, Saturday 2 October 2010, 15:00
West Brom, 1, 1, Bolton, Saturday 2 October 2010, 15:00
West Ham, 1, 1, Fulham, Saturday 2 October 2010, 15:00
Wigan, 2, 0, Wolves, Saturday 2 October 2010, 12:45
Newcastle, 1, 2, Stoke, Sunday 26 September 2010, 16:10
Wolves, 1, 2, Aston Villa, Sunday 26 September 2010, 14:05
Bolton, 2, 2, Man Utd, Sunday 26 September 2010, 12:00
Arsenal, 2, 3, West Brom, Saturday 25 September 2010, 15:00
Birmingham, 0, 0, Wigan, Saturday 25 September 2010, 15:00
Blackpool, 1, 2, Blackburn, Saturday 25 September 2010, 15:00
Fulham, 0, 0, Everton, Saturday 25 September 2010, 15:00
Liverpool, 2, 2, Sunderland, Saturday 25 September 2010, 15:00
West Ham, 1, 0, Spurs, Saturday 25 September 2010, 15:00
Man City, 1, 0, Chelsea, Saturday 25 September 2010, 12:45
Chelsea, 4, 0, Blackpool, Sunday 19 September 2010, 16:00
Wigan, 0, 2, Man City, Sunday 19 September 2010, 15:00
Man Utd, 3, 2, Liverpool, Sunday 19 September 2010, 13:30
Sunderland, 1, 1, Arsenal, Saturday 18 September 2010, 17:30
Aston Villa, 1, 1, Bolton, Saturday 18 September 2010, 15:00
Blackburn, 1, 1, Fulham, Saturday 18 September 2010, 15:00
Everton, 0, 1, Newcastle, Saturday 18 September 2010, 15:00
Spurs, 3, 1, Wolves, Saturday 18 September 2010, 15:00
West Brom, 3, 1, Birmingham, Saturday 18 September 2010, 15:00
Stoke, 1, 1, West Ham, Saturday 18 September 2010, 12:45
Stoke, 2, 1, Aston Villa, Monday 13 September 2010, 20:00
Birmingham, 0, 0, Liverpool, Sunday 12 September 2010, 16:00
Arsenal, 4, 1, Bolton, Saturday 11 September 2010, 15:00
Fulham, 2, 1, Wolves, Saturday 11 September 2010, 15:00
Man City, 1, 1, Blackburn, Saturday 11 September 2010, 15:00
Newcastle, 0, 2, Blackpool, Saturday 11 September 2010, 15:00
West Brom, 1, 1, Spurs, Saturday 11 September 2010, 15:00
West Ham, 1, 3, Chelsea, Saturday 11 September 2010, 15:00
Wigan, 1, 1, Sunderland, Saturday 11 September 2010, 15:00
Everton, 3, 3, Man Utd, Saturday 11 September 2010, 12:45
Aston Villa, 1, 0, Everton, Sunday 29 August 2010, 16:00
Liverpool, 1, 0, West Brom, Sunday 29 August 2010, 15:00
Sunderland, 1, 0, Man City, Sunday 29 August 2010, 15:00
Bolton, 2, 2, Birmingham, Sunday 29 August 2010, 13:30
Man Utd, 3, 0, West Ham, Saturday 28 August 2010, 17:30
Blackpool, 2, 2, Fulham, Saturday 28 August 2010, 15:00
Chelsea, 2, 0, Stoke, Saturday 28 August 2010, 15:00
Spurs, 0, 1, Wigan, Saturday 28 August 2010, 15:00
Wolves, 1, 1, Newcastle, Saturday 28 August 2010, 15:00
Blackburn, 1, 2, Arsenal, Saturday 28 August 2010, 12:45
Man City, 3, 0, Liverpool, Monday 23 August 2010, 20:00
Fulham, 2, 2, Man Utd, Sunday 22 August 2010, 16:00
Newcastle, 6, 0, Aston Villa, Sunday 22 August 2010, 13:30
Wigan, 0, 6, Chelsea, Saturday 21 August 2010, 17:15
Arsenal, 6, 0, Blackpool, Saturday 21 August 2010, 15:00
Birmingham, 2, 1, Blackburn, Saturday 21 August 2010, 15:00
Everton, 1, 1, Wolves, Saturday 21 August 2010, 15:00
Stoke, 1, 2, Spurs, Saturday 21 August 2010, 15:00
West Brom, 1, 0, Sunderland, Saturday 21 August 2010, 15:00
West Ham, 1, 3, Bolton, Saturday 21 August 2010, 15:00
Man Utd, 3, 0, Newcastle, Monday 16 August 2010, 20:00
Liverpool, 1, 1, Arsenal, Sunday 15 August 2010, 16:00
Chelsea, 6, 0, West Brom, Saturday 14 August 2010, 17:30
Aston Villa, 3, 0, West Ham, Saturday 14 August 2010, 15:00
Blackburn, 1, 0, Everton, Saturday 14 August 2010, 15:00
Bolton, 0, 0, Fulham, Saturday 14 August 2010, 15:00
Sunderland, 2, 2, Birmingham, Saturday 14 August 2010, 15:00
Wigan, 0, 4, Blackpool, Saturday 14 August 2010, 15:00
Wolves, 2, 1, Stoke, Saturday 14 August 2010, 15:00
Spurs, 0, 0, Man City, Saturday 14 August 2010, 12:45
