home, homescore, awayscore, away, date, group
FC Cologne, 1, 2, Hannover 96, "Saturday, November 1, 2003", "Mungersdorfer Stadion (33,000)"
Schalke 04, 2, 0, Bayern Munich, "Saturday, November 1, 2003", "Arena Auf Schalke (61,010)"
TSV 1860 Munich, 3, 1, VfL Bochum, "Saturday, November 1, 2003", "Olympiastadion (18,000)"
VfB Stuttgart, 4, 1, SC Freiburg, "Saturday, November 1, 2003", "Gottlieb-Daimler Stadion (50,000)"
VfL Wolfsburg, 3, 0, Hertha Berlin, "Saturday, November 1, 2003", "Volkswagen Arena (21,325)"
Werder Bremen, 3, 1, Eintracht Frankfurt, "Saturday, November 1, 2003", "Weserstadion (34,619)"
Bayer Leverkusen, 1, 0, Borussia Monchengladbach, "Sunday, October 26, 2003", "BayArena (22,500)"
VfL Bochum, 3, 0, Borussia Dortmund, "Sunday, October 26, 2003", "Ruhr Stadium (32,645)"
Bayern Munich, 4, 1, Kaiserslautern, "Saturday, October 25, 2003", "Olympiastadion (58,000)"
Eintracht Frankfurt, 2, 0, FC Cologne, "Saturday, October 25, 2003", "Waldstadion (25,000)"
Hamburg SV, 2, 2, Schalke 04, "Saturday, October 25, 2003", "Volksparkstadion (55,500)"
Hannover 96, 1, 1, TSV 1860 Munich, "Saturday, October 25, 2003", "Niedersachsenstadion (19,754)"
Hansa Rostock, 0, 1, Hertha Berlin, "Saturday, October 25, 2003", "Ostseestadion (20,600)"
SC Freiburg, 2, 4, Werder Bremen, "Saturday, October 25, 2003", "Dreisamstadion  (23,000)"
VfB Stuttgart, 1, 0, VfL Wolfsburg, "Saturday, October 25, 2003", "Gottlieb-Daimler Stadion (40,000)"
Kaiserslautern, 4, 0, Hamburg SV, "Sunday, October 19, 2003", "Fritz-Walter Stadion (38,016)"
Schalke 04, 0, 2, VfL Bochum, "Sunday, October 19, 2003", "Arena Auf Schalke (61,100)"
Borussia Dortmund, 6, 2, Hannover 96, "Saturday, October 18, 2003", "Westfalenstadion (80,500)"
Borussia Monchengladbach, 0, 0, Bayern Munich, "Saturday, October 18, 2003", "Stadium Bokelberg (34,500)"
FC Cologne, 1, 0, SC Freiburg, "Saturday, October 18, 2003", "Mungersdorfer Stadion (33,000)"
Hertha Berlin, 1, 4, Bayer Leverkusen, "Saturday, October 18, 2003", "Olympia Stadium (36,638)"
TSV 1860 Munich, 1, 0, Eintracht Frankfurt, "Saturday, October 18, 2003", "Olympiastadion (26,000)"
VfL Wolfsburg, 3, 1, Hansa Rostock, "Saturday, October 18, 2003", "Volkswagen Arena (19,846)"
Werder Bremen, 1, 3, VfB Stuttgart, "Saturday, October 18, 2003", "Weserstadion (41,100)"
Bayer Leverkusen, 3, 0, Hansa Rostock, "Sunday, October 5, 2003", "BayArena (22,500)"
Werder Bremen, 5, 3, VfL Wolfsburg, "Sunday, October 5, 2003", "Weserstadion (31,800)"
Bayern Munich, 4, 1, Hertha Berlin, "Saturday, October 4, 2003", "Olympiastadion (63,000)"
Eintracht Frankfurt, 0, 1, Borussia Dortmund, "Saturday, October 4, 2003", "Waldstadion (25,000)"
Hamburg SV, 2, 1, Borussia Monchengladbach, "Saturday, October 4, 2003", "Volksparkstadion (51,300)"
Hannover 96, 1, 2, Schalke 04, "Saturday, October 4, 2003", "Niedersachsenstadion (22,584)"
SC Freiburg, 1, 0, TSV 1860 Munich, "Saturday, October 4, 2003", "Dreisamstadion  (25,000)"
VfB Stuttgart, 0, 0, FC Cologne, "Saturday, October 4, 2003", "Gottlieb-Daimler Stadion (72,000)"
VfL Bochum, 4, 0, Kaiserslautern, "Saturday, October 4, 2003", "Ruhr Stadium (20,120)"
Hertha Berlin, 1, 1, Hamburg SV, "Sunday, September 28, 2003", "Olympia Stadium (36,876)"
Schalke 04, 1, 1, Eintracht Frankfurt, "Sunday, September 28, 2003", "Arena Auf Schalke (61,266)"
Borussia Dortmund, 1, 0, SC Freiburg, "Saturday, September 27, 2003", "Westfalenstadion (78,000)"
Borussia Monchengladbach, 2, 2, VfL Bochum, "Saturday, September 27, 2003", "Stadium Bokelberg (29,000)"
FC Cologne, 1, 4, Werder Bremen, "Saturday, September 27, 2003", "Mungersdorfer Stadion (33,000)"
Hansa Rostock, 1, 2, Bayern Munich, "Saturday, September 27, 2003", "Ostseestadion (29,000)"
Kaiserslautern, 1, 0, Hannover 96, "Saturday, September 27, 2003", "Fritz-Walter Stadion (32,361)"
TSV 1860 Munich, 0, 3, VfB Stuttgart, "Saturday, September 27, 2003", "Olympiastadion (38,000)"
VfL Wolfsburg, 0, 1, Bayer Leverkusen, "Saturday, September 27, 2003", "Volkswagen Arena (24,135)"
Eintracht Frankfurt, 1, 3, Kaiserslautern, "Sunday, September 21, 2003", "Waldstadion (23,000)"
