home,homescore,awayscore,away,date,location
St Mirren,0,1,Aberdeen,"Saturday, December 29, 2007","St Mirren Park (5,025)"
Falkirk,1,0,Inverness Caledonian Thistle,"Wednesday, December 26, 2007","Falkirk Stadium (5,265)"
Gretna,1,1,Aberdeen,"Wednesday, December 26, 2007","Fir Park Stadium (1,730)"
Heart of Midlothian,0,1,St Mirren,"Wednesday, December 26, 2007","Tynecastle Stadium (16,476)"
Kilmarnock,2,1,Hibernian,"Wednesday, December 26, 2007","Rugby Park (6,372)"
Rangers,3,1,Motherwell,"Wednesday, December 26, 2007","Ibrox Stadium (49,823)"
Dundee United,0,2,Celtic,"Wednesday, December 26, 2007","Tannadice Park (12,357)"
Aberdeen,1,1,Rangers,"Sunday, December 23, 2007","Pittodrie Stadium (17,798)"
Celtic,1,1,Hibernian,"Saturday, December 22, 2007","Celtic Park (58,016)"
Dundee United,1,2,Gretna,"Saturday, December 22, 2007","Tannadice Park (6,304)"
Heart of Midlothian,2,3,Inverness Caledonian Thistle,"Saturday, December 22, 2007","Tynecastle Stadium (16,202)"
Motherwell,0,3,Falkirk,"Saturday, December 22, 2007","Fir Park Stadium (5,241)"
St Mirren,0,0,Kilmarnock,"Saturday, December 22, 2007","St Mirren Park (4,216)"
Inverness Caledonian Thistle,3,2,Celtic,"Sunday, December 16, 2007","Caledonian Stadium (7,004)"
Hibernian,1,1,Falkirk,"Saturday, December 15, 2007","Easter Road Stadium (12,391)"
Kilmarnock,3,3,Gretna,"Saturday, December 15, 2007","Rugby Park (5,122)"
Motherwell,3,0,Aberdeen,"Saturday, December 15, 2007","Fir Park Stadium (5,326)"
Rangers,2,1,Heart of Midlothian,"Saturday, December 15, 2007","Ibrox Stadium (48,392)"
St Mirren,0,3,Dundee United,"Saturday, December 15, 2007","St Mirren Park (3,490)"
Celtic,4,0,Falkirk,"Tuesday, December 11, 2007","Celtic Park (54,291)"
Aberdeen,2,1,Kilmarnock,"Saturday, December 8, 2007","Pittodrie Stadium (10,207)"
Celtic,1,1,St Mirren,"Saturday, December 8, 2007","Celtic Park (55,747)"
Falkirk,3,0,Dundee United,"Saturday, December 8, 2007","Falkirk Stadium (4,803)"
Heart of Midlothian,1,2,Motherwell,"Saturday, December 8, 2007","Tynecastle Stadium (16,633)"
Inverness Caledonian Thistle,2,0,Hibernian,"Saturday, December 8, 2007","Caledonian Stadium (4,224)"
Aberdeen,3,1,Hibernian,"Sunday, December 2, 2007","Pittodrie Stadium (10,110)"
Heart of Midlothian,1,1,Celtic,"Saturday, December 1, 2007","Tynecastle Stadium (16,454)"
Dundee United,0,1,Inverness Caledonian Thistle,"Saturday, December 1, 2007","Tannadice Park (5,845)"
Motherwell,3,0,Gretna,"Saturday, December 1, 2007","Fir Park Stadium (6,431)"
Rangers,2,0,Kilmarnock,"Saturday, December 1, 2007","Ibrox Stadium (48,055)"
St Mirren,1,5,Falkirk,"Saturday, December 1, 2007","St Mirren Park (4,133)"
Gretna,1,1,Heart of Midlothian,"Sunday, November 25, 2007","Raydale Park (1,544)"
Falkirk,1,3,Rangers,"Saturday, November 24, 2007","Falkirk Stadium (6,627)"
Celtic,3,0,Aberdeen,"Saturday, November 24, 2007","Celtic Park (58,000)"
Hibernian,2,2,Dundee United,"Saturday, November 24, 2007","Easter Road Stadium (14,440)"
Inverness Caledonian Thistle,1,0,St Mirren,"Saturday, November 24, 2007","Caledonian Stadium (3,699)"
Kilmarnock,0,1,Motherwell,"Saturday, November 24, 2007","Rugby Park (5,016)"
Heart of Midlothian,4,1,Aberdeen,"Sunday, November 11, 2007","Tynecastle Stadium (17,122)"
Dundee United,2,0,Kilmarnock,"Saturday, November 10, 2007","Tannadice Park (6,065)"
Gretna,0,1,Hibernian,"Saturday, November 10, 2007","Fir Park Stadium (2,666)"
Inverness Caledonian Thistle,0,3,Motherwell,"Saturday, November 10, 2007","Caledonian Stadium (3,608)"
Hibernian,1,1,Heart of Midlothian,"Sunday, November 4, 2007","Easter Road Stadium (17,015)"
Kilmarnock,1,2,Celtic,"Saturday, November 3, 2007","Rugby Park (8,260)"
Aberdeen,2,0,Dundee United,"Saturday, November 3, 2007","Pittodrie Stadium (11,964)"
Falkirk,2,0,Gretna,"Saturday, November 3, 2007","Falkirk Stadium (4,843)"
Motherwell,1,1,St Mirren,"Saturday, November 3, 2007","Fir Park Stadium (5,123)"
Rangers,2,0,Inverness Caledonian Thistle,"Saturday, November 3, 2007","Ibrox Stadium (48,898)"
Dundee United,2,1,Rangers,"Sunday, October 28, 2007","Tannadice Park (12,129)"
Aberdeen,1,1,Falkirk,"Sunday, October 28, 2007","Pittodrie Stadium (10,399)"
Celtic,3,0,Motherwell,"Saturday, October 27, 2007","Celtic Park (57,633)"
Gretna,0,4,Inverness Caledonian Thistle,"Saturday, October 27, 2007","Fir Park Stadium (1,020)"
