home,homescore,awayscore,away,date,location
NAC Breda,1,0,FC Utrecht,"Saturday, February 9, 2008","Fujifilm  (15,750)"
PSV Eindhoven,1,1,Heerenveen,"Saturday, February 9, 2008","Philipsstadion (35,500)"
De Graafschap,1,3,Feyenoord Rotterdam,"Saturday, February 9, 2008","De Vijverberg (12,500)"
Vitesse Arnhem,2,1,FC Groningen,"Saturday, February 9, 2008","Gelredome (20,000)"
Twente Enschede,2,1,SC Heracles Almelo,"Friday, February 8, 2008","Arke Stadion "
Sparta Rotterdam,0,1,NAC Breda,"Wednesday, February 6, 2008","ENECO (9,876)"
Ajax Amsterdam,3,0,Feyenoord Rotterdam,"Sunday, February 3, 2008","Amsterdam ArenA (49,893)"
FC Groningen,1,1,Roda JC Kerkrade,"Sunday, February 3, 2008","Euroborg (19,750)"
FC Utrecht,2,0,Willem II Tilburg,"Sunday, February 3, 2008","Nieuwe Galgenwaard (19,750)"
Sparta Rotterdam,2,0,VVV Venlo,"Sunday, February 3, 2008","ENECO (10,208)"
Heerenveen,7,0,Vitesse Arnhem,"Saturday, February 2, 2008","Abe Lenstra Stadion (25,300)"
AZ Alkmaar,0,2,PSV Eindhoven,"Saturday, February 2, 2008","DSB Stadion (16,457)"
Excelsior,1,1,De Graafschap,"Saturday, February 2, 2008","Stad Rotterdam Verzekeringen Stadion (3,125)"
SC Heracles Almelo,0,2,NEC Nijmegen,"Saturday, February 2, 2008","Polman Stadion (8,500)"
NAC Breda,1,0,Twente Enschede,"Friday, February 1, 2008","Fujifilm  (14,450)"
Ajax Amsterdam,0,2,PSV Eindhoven,"Wednesday, January 30, 2008","Amsterdam ArenA (49,822)"
Feyenoord Rotterdam,2,2,AZ Alkmaar,"Wednesday, January 30, 2008","De Kuip Stadion  (46,000)"
NEC Nijmegen,2,0,FC Utrecht,"Sunday, January 27, 2008","De Goffert (11,800)"
Vitesse Arnhem,2,2,Ajax Amsterdam,"Sunday, January 27, 2008","Gelredome (22,700)"
