home, homescore, awayscore, away, date, stadium
Bayern Munich, 3, 1, Energie Cottbus, "Saturday, September 21, 2002"," Olympiastadion (43,000)"
Hannover 96, 2, 2, VfL Bochum, "Saturday, September 21, 2002"," Niedersachsenstadion (34,742)"
Hansa Rostock, 0, 1, Borussia Dortmund, "Saturday, September 21, 2002"," Ostseestadion (28,600)"
Hertha Berlin, 2, 0, Hamburg SV, "Saturday, September 21, 2002"," Olympia Stadium (40,000)"
Kaiserslautern, 0, 0, TSV 1860 Munich, "Saturday, September 21, 2002"," Fritz-Walter Stadion (35,000)"
VfL Wolfsburg, 0, 2, Nurnberg, "Saturday, September 21, 2002"," VFL-Stadion (14,000)"
Werder Bremen, 3, 2, Bayer Leverkusen, "Saturday, September 21, 2002"," Weserstadion (28,160)"
Hamburg SV, 2, 0, Kaiserslautern, "Sunday, September 15, 2002"," Volksparkstadion (39,807)"
VfL Bochum, 0, 1, Hansa Rostock, "Sunday, September 15, 2002"," Ruhr Stadium (21,000)"
Arminia Bielefeld, 0, 1, Hertha Berlin, "Saturday, September 14, 2002"," Almstadion "
Bayer Leverkusen, 1, 3, Hannover 96, "Saturday, September 14, 2002"," BayArena (23,000)"
Borussia Dortmund, 1, 1, Schalke 04, "Saturday, September 14, 2002"," Westfalenstadion "
Borussia Monchengladbach, 1, 1, VfB Stuttgart, "Saturday, September 14, 2002"," Stadium Bokelberg (27,700)"
Energie Cottbus, 0, 1, Werder Bremen, "Saturday, September 14, 2002"," Stadion der Freundschaft "
Nurnberg, 1, 2, Bayern Munich, "Saturday, September 14, 2002"," Frankenstadion (44,000)"
TSV 1860 Munich, 2, 2, VfL Wolfsburg, "Saturday, September 14, 2002"," Olympiastadion (20,800)"
Hannover 96, 1, 3, Energie Cottbus, "Wednesday, September 11, 2002"," Niedersachsenstadion (35,506)"
Hansa Rostock, 1, 3, Bayer Leverkusen, "Wednesday, September 11, 2002"," Ostseestadion (18,000)"
Kaiserslautern, 1, 1, Arminia Bielefeld, "Wednesday, September 11, 2002"," Fritz-Walter Stadion (32,300)"
VfB Stuttgart, 1, 1, Schalke 04, "Wednesday, September 11, 2002"," Gottlieb-Daimler Stadion (26,000)"
VfL Wolfsburg, 2, 1, Hamburg SV, "Wednesday, September 11, 2002"," VFL-Stadion (17,556)"
Bayern Munich, 3, 1, TSV 1860 Munich, "Tuesday, September 10, 2002"," Olympiastadion (69,000)"
Hertha Berlin, 1, 2, Borussia Monchengladbach, "Tuesday, September 10, 2002"," Olympia Stadium (35,000)"
VfL Bochum, 0, 0, Borussia Dortmund, "Tuesday, September 10, 2002"," Ruhr Stadium (32,645)"
Werder Bremen, 4, 1, Nurnberg, "Tuesday, September 10, 2002"," Weserstadion (25,785)"
Nurnberg, 3, 1, Hannover 96, "Sunday, August 25, 2002"," Frankenstadion (25,800)"
Schalke 04, 0, 0, Hertha Berlin, "Sunday, August 25, 2002"," Arena Auf Schalke (60,601)"
Arminia Bielefeld, 1, 0, VfL Wolfsburg, "Saturday, August 24, 2002"," Almstadion (20,369)"
Bayer Leverkusen, 2, 4, VfL Bochum, "Saturday, August 24, 2002"," BayArena (22,500)"
Borussia Dortmund, 3, 1, VfB Stuttgart, "Saturday, August 24, 2002"," Westfalenstadion (66,000)"
Borussia Monchengladbach, 3, 0, Kaiserslautern, "Saturday, August 24, 2002"," Stadium Bokelberg (27,100)"
Energie Cottbus, 0, 4, Hansa Rostock, "Saturday, August 24, 2002"," Stadion der Freundschaft (13,000)"
Hamburg SV, 0, 3, Bayern Munich, "Saturday, August 24, 2002"," Volksparkstadion (55,506)"
TSV 1860 Munich, 3, 0, Werder Bremen, "Saturday, August 24, 2002"," Olympiastadion (24,000)"
VfL Wolfsburg, 1, 0, Borussia Monchengladbach, "Sunday, August 18, 2002"," VFL-Stadion (16,039)"
Werder Bremen, 2, 1, Hamburg SV, "Sunday, August 18, 2002"," Weserstadion (33,000)"
Bayer Leverkusen, 1, 1, Borussia Dortmund, "Saturday, August 17, 2002"," BayArena (22,500)"
Bayern Munich, 6, 2, Arminia Bielefeld, "Saturday, August 17, 2002"," Olympiastadion (60,000)"
Hannover 96, 1, 3, TSV 1860 Munich, "Saturday, August 17, 2002"," Niedersachsenstadion (47,000)"
Hansa Rostock, 2, 0, Nurnberg, "Saturday, August 17, 2002"," Ostseestadion (19,600)"
Hertha Berlin, 1, 1, VfB Stuttgart, "Saturday, August 17, 2002"," Olympia Stadium (35,000)"
Kaiserslautern, 1, 3, Schalke 04, "Saturday, August 17, 2002"," Fritz-Walter Stadion (39,900)"
VfL Bochum, 5, 0, Energie Cottbus, "Saturday, August 17, 2002"," Ruhr Stadium (19,600)"
TSV 1860 Munich, 0, 2, Hansa Rostock, "Wednesday, August 14, 2002"," Olympiastadion (22,800)"
Arminia Bielefeld, 3, 0, Werder Bremen, "Sunday, August 11, 2002"," Almstadion (25,148)"
Hamburg SV, 2, 1, Hannover 96, "Sunday, August 11, 2002"," Volksparkstadion (54,000)"
Borussia Monchengladbach, 0, 0, Bayern Munich, "Saturday, August 10, 2002"," Stadium Bokelberg (34,500)"
Energie Cottbus, 1, 1, Bayer Leverkusen, "Saturday, August 10, 2002"," Stadion der Freundschaft (15,000)"
Nurnberg, 1, 3, VfL Bochum, "Saturday, August 10, 2002"," Frankenstadion (30,000)"
Schalke 04, 1, 0, VfL Wolfsburg, "Saturday, August 10, 2002"," Arena Auf Schalke (58,645)"
VfB Stuttgart, 1, 1, Kaiserslautern, "Saturday, August 10, 2002"," Gottlieb-Daimler Stadion (23,000)"
Borussia Dortmund, 2, 2, Hertha Berlin, "Friday, August 9, 2002"," Westfalenstadion (67,000)"
