home, homescore, awayscore, away, date, group
VfL Wolfsburg, 1, 1, Werder Bremen, "Saturday, November 24, 2012", Volkswagen Arena (29,723)
Fortuna DÃ¼sseldorf, 2, 0, Hamburg SV, "Friday, November 23, 2012", Espirit Arena (54,000)
Werder Bremen, 2, 1, Fortuna DÃ¼sseldorf, "Sunday, November 18, 2012", Weserstadion (42,100)
TSG Hoffenheim, 1, 3, VfL Wolfsburg, "Sunday, November 18, 2012", Rhein-Neckar Arena (20,500)
Borussia Dortmund, 3, 1, SpVgg Greuther Furth, "Saturday, November 17, 2012", Signal Iduna Park (80,645)
Borussia Monchengladbach, 1, 2, VfB Stuttgart, "Saturday, November 17, 2012", Borussia Park (52,120)
Eintracht Frankfurt, 4, 2, FC Augsburg, "Saturday, November 17, 2012", Commerzbank Arena (47,700)
Hamburg SV, 1, 0, Mainz, "Saturday, November 17, 2012", Imtech Arena (51,345)
Hannover 96, 1, 2, SC Freiburg, "Saturday, November 17, 2012", AWD-Arena (43,800)
Nurnberg, 1, 1, Bayern Munich, "Saturday, November 17, 2012", easyCredit Stadion (50,000)
Bayer Leverkusen, 2, 0, Schalke 04, "Saturday, November 17, 2012", BayArena (29,808)
VfL Wolfsburg, 3, 1, Bayer Leverkusen, "Sunday, November 11, 2012", Volkswagen Arena (24,825)
SpVgg Greuther Furth, 2, 4, Borussia Monchengladbach, "Sunday, November 11, 2012", Playmobil-Stadion (18,000)
VfB Stuttgart, 2, 4, Hannover 96, "Sunday, November 11, 2012", Mercedes-Benz Arena (50,600)
Bayern Munich, 2, 0, Eintracht Frankfurt, "Saturday, November 10, 2012", Allianz Arena (71,000)
FC Augsburg, 1, 3, Borussia Dortmund, "Saturday, November 10, 2012", impuls arena (30,660)
Fortuna DÃ¼sseldorf, 1, 1, TSG Hoffenheim, "Saturday, November 10, 2012", Espirit Arena (41,200)
SC Freiburg, 0, 0, Hamburg SV, "Saturday, November 10, 2012", badenova-Stadion (24,000)
Schalke 04, 2, 1, Werder Bremen, "Saturday, November 10, 2012", Veltins Arena (61,673)
Mainz, 2, 1, Nurnberg, "Friday, November 9, 2012", Coface Arena (31,390)
Bayer Leverkusen, 3, 2, Fortuna DÃ¼sseldorf, "Sunday, November 4, 2012", BayArena (27,153)
Werder Bremen, 2, 1, Mainz, "Sunday, November 4, 2012", Weserstadion (39,144)
Borussia Dortmund, 0, 0, VfB Stuttgart, "Saturday, November 3, 2012", Signal Iduna Park (80,645)
Borussia Monchengladbach, 1, 1, SC Freiburg, "Saturday, November 3, 2012", Borussia Park (47,673)
Hannover 96, 2, 0, FC Augsburg, "Saturday, November 3, 2012", AWD-Arena (41,200)
Nurnberg, 1, 0, VfL Wolfsburg, "Saturday, November 3, 2012", easyCredit Stadion (37,586)
TSG Hoffenheim, 3, 2, Schalke 04, "Saturday, November 3, 2012", Rhein-Neckar Arena (30,150)
Hamburg SV, 0, 3, Bayern Munich, "Saturday, November 3, 2012", Imtech Arena (57,000)
Eintracht Frankfurt, 1, 1, SpVgg Greuther Furth, "Friday, November 2, 2012", Commerzbank Arena (47,400)
VfB Stuttgart, 2, 1, Eintracht Frankfurt, "Sunday, October 28, 2012", Mercedes-Benz Arena (54,840)
Bayern Munich, 1, 2, Bayer Leverkusen, "Sunday, October 28, 2012", Allianz Arena (71,000)
Hannover 96, 2, 3, Borussia Monchengladbach, "Sunday, October 28, 2012", AWD-Arena (49,000)
Fortuna DÃ¼sseldorf, 1, 4, VfL Wolfsburg, "Saturday, October 27, 2012", Espirit Arena (45,673)
Mainz, 3, 0, TSG Hoffenheim, "Saturday, October 27, 2012", Coface Arena (28,067)
SC Freiburg, 0, 2, Borussia Dortmund, "Saturday, October 27, 2012", badenova-Stadion (24,000)
Schalke 04, 1, 0, Nurnberg, "Saturday, October 27, 2012", Veltins Arena (61,673)
SpVgg Greuther Furth, 1, 1, Werder Bremen, "Saturday, October 27, 2012", Playmobil-Stadion (18,000)
FC Augsburg, 0, 2, Hamburg SV, "Friday, October 26, 2012", impuls arena (30,660)
Nurnberg, 0, 0, FC Augsburg, "Sunday, October 21, 2012", easyCredit Stadion (40,171)
Hamburg SV, 0, 1, VfB Stuttgart, "Sunday, October 21, 2012", Imtech Arena (53,128)
Bayer Leverkusen, 2, 2, Mainz, "Saturday, October 20, 2012", BayArena (28,077)
Borussia Dortmund, 1, 2, Schalke 04, "Saturday, October 20, 2012", Signal Iduna Park (80,645)
Eintracht Frankfurt, 3, 1, Hannover 96, "Saturday, October 20, 2012", Commerzbank Arena (50,500)
Fortuna DÃ¼sseldorf, 0, 5, Bayern Munich, "Saturday, October 20, 2012", Espirit Arena (54,000)
VfL Wolfsburg, 0, 2, SC Freiburg, "Saturday, October 20, 2012", Volkswagen Arena (25,080)
Werder Bremen, 4, 0, Borussia Monchengladbach, "Saturday, October 20, 2012", Weserstadion (42,100)
TSG Hoffenheim, 3, 3, SpVgg Greuther Furth, "Friday, October 19, 2012", Rhein-Neckar Arena (22,150)
Borussia Monchengladbach, 2, 0, Eintracht Frankfurt, "Sunday, October 7, 2012", Borussia Park (51,193)
Hannover 96, 1, 1, Borussia Dortmund, "Sunday, October 7, 2012", AWD-Arena (49,000)
VfB Stuttgart, 2, 2, Bayer Leverkusen, "Sunday, October 7, 2012", Mercedes-Benz Arena (47,400)
Bayern Munich, 2, 0, TSG Hoffenheim, "Saturday, October 6, 2012", Allianz Arena (71,000)
Mainz, 1, 0, Fortuna DÃ¼sseldorf, "Saturday, October 6, 2012", Coface Arena (31,577)
SC Freiburg, 3, 0, Nurnberg, "Saturday, October 6, 2012", badenova-Stadion (22,800)
Schalke 04, 3, 0, VfL Wolfsburg, "Saturday, October 6, 2012", Veltins Arena (60,671)
SpVgg Greuther Furth, 0, 1, Hamburg SV, "Saturday, October 6, 2012", Playmobil-Stadion (18,000)
FC Augsburg, 3, 1, Werder Bremen, "Friday, October 5, 2012", impuls arena (28,133)
Eintracht Frankfurt, 2, 1, SC Freiburg, "Sunday, September 30, 2012", Commerzbank Arena (49,300)
VfL Wolfsburg, 0, 2, Mainz, "Sunday, September 30, 2012", Volkswagen Arena (23,795)
Bayer Leverkusen, 2, 0, SpVgg Greuther Furth, "Saturday, September 29, 2012", BayArena (25,798)
Hamburg SV, 1, 0, Hannover 96, "Saturday, September 29, 2012", Imtech Arena (57,000)
Nurnberg, 0, 2, VfB Stuttgart, "Saturday, September 29, 2012", easyCredit Stadion (43,018)
TSG Hoffenheim, 0, 0, FC Augsburg, "Saturday, September 29, 2012", Rhein-Neckar Arena (22,000)
Werder Bremen, 0, 2, Bayern Munich, "Saturday, September 29, 2012", Weserstadion (42,100)
Borussia Dortmund, 5, 0, Borussia Monchengladbach, "Saturday, September 29, 2012", Signal Iduna Park (80,645)
Fortuna DÃ¼sseldorf, 2, 2, Schalke 04, "Friday, September 28, 2012", Espirit Arena (54,000)
Borussia Monchengladbach, 2, 2, Hamburg SV, "Wednesday, September 26, 2012", Borussia Park (46,233)
