home, homescore, awayscore, away, date, group
Nantes, 0, 0, AS Monaco, "Sunday, December 11, 2005", "La Beaujoire (28,000)"
St Etienne, 0, 0, Lyon, "Sunday, December 11, 2005", "Geoffroy-Guichard (35,352)"
Lille, 0, 0, Lens, "Saturday, December 10, 2005", "Lille Metropole "
AS Nancy Lorraine, 1, 2, Strasbourg, "Saturday, December 10, 2005", "Marcel-Picot "
Le Mans, 1, 0, Bordeaux, "Saturday, December 10, 2005", "Leon Bollee "
Marseille, 1, 0, AJ Auxerre, "Saturday, December 10, 2005", "Velodrome (51,000)"
Nice, 1, 0, AC Ajaccio, "Saturday, December 10, 2005", "Municipal du Ray (9,627)"
Paris Saint-Germain , 2, 0, Stade Rennes, "Saturday, December 10, 2005", "Parc de Princes (43,000)"
Sochaux, 1, 1, Metz, "Saturday, December 10, 2005", "Auguste-Bonal (11,812)"
Toulouse, 2, 1, Troyes, "Saturday, December 10, 2005", "Stadium Municipal (16,984)"
AS Nancy Lorraine, 1, 1, Marseille, "Sunday, December 4, 2005", "Marcel-Picot "
Stade Rennes, 1, 0, Nice, "Sunday, December 4, 2005", "Route de Lorient  (23,081)"
Lens, 2, 1, St Etienne, "Sunday, December 4, 2005", "Felix-Bollaert  (30,000)"
Lyon, 2, 0, Paris Saint-Germain , "Saturday, December 3, 2005", "Municipal De Gerland "
AC Ajaccio, 0, 1, Troyes, "Saturday, December 3, 2005", "Francois-Coty  (3,500)"
AJ Auxerre, 4, 0, Nantes, "Saturday, December 3, 2005", "Abbe-Deschamps "
AS Monaco, 2, 0, Le Mans, "Saturday, December 3, 2005", "Stade Louis II "
Bordeaux, 1, 0, Lille, "Saturday, December 3, 2005", "Parc Lescure (19,252)"
Metz, 2, 2, Toulouse, "Saturday, December 3, 2005", "Saint-Symphorien  (12,367)"
Strasbourg, 0, 0, Sochaux, "Saturday, December 3, 2005", "La Meinau (20,000)"
Nantes, 4, 3, Strasbourg, "Sunday, November 27, 2005", "La Beaujoire (26,000)"
Paris Saint-Germain , 3, 4, Lens, "Sunday, November 27, 2005", "Parc de Princes (40,895)"
Marseille, 2, 1, AS Monaco, "Sunday, November 27, 2005", "Velodrome (52,000)"
St Etienne, 1, 1, Bordeaux, "Saturday, November 26, 2005", "Geoffroy-Guichard (34,089)"
Lille, 1, 0, AS Nancy Lorraine, "Saturday, November 26, 2005", "Lille Metropole (11,140)"
Nice, 1, 1, Lyon, "Saturday, November 26, 2005", "Municipal du Ray (12,849)"
Sochaux, 1, 0, Stade Rennes, "Saturday, November 26, 2005", "Auguste-Bonal (15,932)"
Toulouse, 3, 0, AC Ajaccio, "Saturday, November 26, 2005", "Stadium Municipal "
Troyes, 0, 0, Metz, "Saturday, November 26, 2005", "Stade l'Aube (10,054)"
Le Mans, 0, 2, AJ Auxerre, "Friday, November 25, 2005", "Leon Bollee (10,347)"
Stade Rennes, 4, 1, Toulouse, "Sunday, November 20, 2005", "Route de Lorient  (20,094)"
Bordeaux, 0, 2, Paris Saint-Germain , "Sunday, November 20, 2005", "Parc Lescure (32,000)"
AS Monaco, 1, 0, St Etienne, "Saturday, November 19, 2005", "Stade Louis II (16,234)"
Marseille, 2, 1, Nantes, "Saturday, November 19, 2005", "Velodrome (48,000)"
AC Ajaccio, 0, 1, Sochaux, "Saturday, November 19, 2005", "Francois-Coty  "
AJ Auxerre, 3, 2, Lille, "Saturday, November 19, 2005", "Abbe-Deschamps "
AS Nancy Lorraine, 1, 0, Le Mans, "Saturday, November 19, 2005", "Marcel-Picot (15,010)"
Lens, 0, 0, Metz, "Saturday, November 19, 2005", "Felix-Bollaert  "
Lyon, 2, 1, Troyes, "Saturday, November 19, 2005", "Municipal De Gerland (37,940)"
Strasbourg, 0, 0, Nice, "Saturday, November 19, 2005", "La Meinau "
AC Ajaccio, 0, 0, Lens, "Friday, November 11, 2005", "Francois-Coty  "
Lille, 2, 0, Strasbourg, "Sunday, November 6, 2005", "Lille Metropole (13,360)"
Sochaux, 1, 1, Lens, "Sunday, November 6, 2005", "Auguste-Bonal "
Troyes, 2, 1, Stade Rennes, "Sunday, November 6, 2005", "Stade l'Aube "
Paris Saint-Germain , 0, 0, AS Monaco, "Sunday, November 6, 2005", "Parc de Princes (43,555)"
Toulouse, 0, 1, Lyon, "Saturday, November 5, 2005", "Stadium Municipal (26,254)"
Le Mans, 3, 0, Marseille, "Saturday, November 5, 2005", "Leon Bollee "
Metz, 2, 0, AC Ajaccio, "Saturday, November 5, 2005", "Saint-Symphorien  (12,592)"
Nantes, 3, 0, AS Nancy Lorraine, "Saturday, November 5, 2005", "La Beaujoire (27,000)"
Nice, 0, 1, Bordeaux, "Saturday, November 5, 2005", "Municipal du Ray "
St Etienne, 1, 1, AJ Auxerre, "Saturday, November 5, 2005", "Geoffroy-Guichard (33,005)"
AS Nancy Lorraine, 0, 0, Nice, "Sunday, October 30, 2005", "Marcel-Picot (17,800)"
AJ Auxerre, 2, 0, Paris Saint-Germain , "Sunday, October 30, 2005", "Het Zuiderpark (22,000)"
Marseille, 1, 1, Lille, "Saturday, October 29, 2005", "Velodrome (49,000)"
AS Monaco, 3, 0, AC Ajaccio, "Saturday, October 29, 2005", "Stade Louis II "
Bordeaux, 2, 0, Troyes, "Saturday, October 29, 2005", "Parc Lescure (19,581)"
Lens, 1, 0, Toulouse, "Saturday, October 29, 2005", "Felix-Bollaert  (29,174)"
Lyon, 1, 0, Sochaux, "Saturday, October 29, 2005", "Municipal De Gerland "
Nantes, 1, 0, Le Mans, "Saturday, October 29, 2005", "La Beaujoire (29,500)"
Stade Rennes, 2, 1, Metz, "Saturday, October 29, 2005", "Route de Lorient  (27,600)"
Strasbourg, 0, 1, St Etienne, "Saturday, October 29, 2005", "La Meinau (23,212)"
AC Ajaccio, 0, 1, Stade Rennes, "Sunday, October 23, 2005", "Arke Stadion (3,500)"
Le Mans, 2, 0, Strasbourg, "Sunday, October 23, 2005", "Marcel-Picot (10,337)"
Sochaux, 2, 1, AS Monaco, "Sunday, October 23, 2005", "Marcel-Picot (15,020)"
Troyes, 1, 1, Lens, "Sunday, October 23, 2005", "Stade l'Aube "
St Etienne, 2, 1, Marseille, "Sunday, October 23, 2005", "Geoffroy-Guichard (35,123)"
Metz, 0, 4, Lyon, "Saturday, October 22, 2005", "Saint-Symphorien  "
Lille, 2, 0, Nantes, "Saturday, October 22, 2005", "Lille Metropole (11,868)"
Nice, 1, 0, AJ Auxerre, "Saturday, October 22, 2005", "Municipal du Ray "
Paris Saint-Germain , 1, 0, AS Nancy Lorraine, "Saturday, October 22, 2005", "Parc de Princes "
Toulouse, 1, 1, Bordeaux, "Saturday, October 22, 2005", "Stadium Municipal (25,468)"
Lyon, 3, 2, AC Ajaccio, "Sunday, October 16, 2005", "Brabrand Stadion (36,347)"
Marseille, 1, 0, Paris Saint-Germain , "Sunday, October 16, 2005", "Velodrome (58,000)"
Nantes, 1, 1, St Etienne, "Saturday, October 15, 2005", "La Beaujoire (33,500)"
AJ Auxerre, 3, 0, Troyes, "Saturday, October 15, 2005", "Abbe-Deschamps (12,000)"
AS Monaco, 3, 0, Metz, "Saturday, October 15, 2005", "Stade Louis II (10,000)"
AS Nancy Lorraine, 2, 0, Toulouse, "Saturday, October 15, 2005", "Marcel-Picot "
Bordeaux, 1, 1, Sochaux, "Saturday, October 15, 2005", "Parc Lescure (21,895)"
