home, homescore, awayscore, away, date, stadium
Hannover 96, 1, 3, Borussia Dortmund, "Saturday, February 5, 2005"," AWD-Arena (36,000)"
Hansa Rostock, 2, 2, Schalke 04, "Saturday, February 5, 2005"," Ostseestadion (20,000)"
Mainz, 0, 3, Hertha Berlin, "Saturday, February 5, 2005"," Stadion am Bruchweg (20,800)"
Nurnberg, 1, 3, Hamburg SV, "Saturday, February 5, 2005"," Frankenstadion (22,269)"
VfB Stuttgart, 1, 1, Kaiserslautern, "Saturday, February 5, 2005"," Gottlieb-Daimler Stadion (32,000)"
VfL Bochum, 1, 1, Arminia Bielefeld, "Saturday, February 5, 2005"," Ruhrstadion (22,333)"
Hertha Berlin, 0, 0, Bayern Munich, "Sunday, January 30, 2005"," Olympiastadion (74,500)"
Werder Bremen, 3, 2, Hansa Rostock, "Sunday, January 30, 2005"," Weserstadion (38,345)"
Arminia Bielefeld, 0, 1, Hannover 96, "Saturday, January 29, 2005"," Schuco-Arena (21,400)"
Bayer Leverkusen, 4, 0, VfL Bochum, "Saturday, January 29, 2005"," BayArena (22,500)"
Borussia Dortmund, 1, 1, Borussia Monchengladbach, "Saturday, January 29, 2005"," Westfalenstadion (79,500)"
Hamburg SV, 2, 1, Mainz, "Saturday, January 29, 2005"," AOL-Arena (44,730)"
Kaiserslautern, 2, 0, Schalke 04, "Saturday, January 29, 2005"," Fritz-Walter Stadion (37,850)"
SC Freiburg, 1, 0, VfL Wolfsburg, "Saturday, January 29, 2005"," badenova-Stadion (20,000)"
VfB Stuttgart, 2, 4, Nurnberg, "Saturday, January 29, 2005"," Gottlieb-Daimler Stadion (45,700)"
Hannover 96, 0, 3, Bayer Leverkusen, "Sunday, January 23, 2005"," AWD-Arena (38,067)"
VfL Bochum, 2, 2, Hertha Berlin, "Sunday, January 23, 2005"," Ruhrstadion (23,926)"
Borussia Monchengladbach, 1, 0, Arminia Bielefeld, "Saturday, January 22, 2005"," Borussia-Park (40,633)"
Hansa Rostock, 0, 0, SC Freiburg, "Saturday, January 22, 2005"," Ostseestadion (22,500)"
Mainz, 2, 3, VfB Stuttgart, "Saturday, January 22, 2005"," Stadion am Bruchweg (20,800)"
Nurnberg, 1, 3, Kaiserslautern, "Saturday, January 22, 2005"," Frankenstadion (21,674)"
Schalke 04, 2, 1, Werder Bremen, "Saturday, January 22, 2005"," Arena AufSchalke (61,524)"
VfL Wolfsburg, 1, 2, Borussia Dortmund, "Saturday, January 22, 2005"," Volkswagen Arena (29,621)"
Bayern Munich, 3, 0, Hamburg SV, "Friday, January 21, 2005"," Olympiastadion (39,000)"
Borussia Monchengladbach, 1, 1, Bayer Leverkusen, "Sunday, December 12, 2004"," Borussia-Park (53,000)"
VfL Wolfsburg, 5, 0, Arminia Bielefeld, "Sunday, December 12, 2004"," Volkswagen Arena (20,000)"
Bayern Munich, 2, 2, VfB Stuttgart, "Saturday, December 11, 2004"," Olympiastadion (63,000)"
Hannover 96, 0, 1, Hertha Berlin, "Saturday, December 11, 2004"," AWD-Arena (42,000)"
Hansa Rostock, 1, 1, Borussia Dortmund, "Saturday, December 11, 2004"," Ostseestadion (21,800)"
Mainz, 0, 1, Nurnberg, "Saturday, December 11, 2004"," Stadion am Bruchweg (20,300)"
Schalke 04, 1, 1, SC Freiburg, "Saturday, December 11, 2004"," Arena AufSchalke (60,433)"
VfL Bochum, 1, 2, Hamburg SV, "Saturday, December 11, 2004"," Ruhrstadion (19,800)"
Werder Bremen, 1, 1, Kaiserslautern, "Saturday, December 11, 2004"," Weserstadion (39,398)"
Borussia Dortmund, 0, 1, Schalke 04, "Sunday, December 5, 2004"," Westfalenstadion (83,600)"
Kaiserslautern, 2, 0, Mainz, "Sunday, December 5, 2004"," Fritz-Walter Stadion (46,150)"
Arminia Bielefeld, 1, 1, Hansa Rostock, "Saturday, December 4, 2004"," Schuco-Arena (23,000)"
Bayer Leverkusen, 2, 1, VfL Wolfsburg, "Saturday, December 4, 2004"," BayArena (22,500)"
Hamburg SV, 0, 2, Hannover 96, "Saturday, December 4, 2004"," AOL-Arena (50,454)"
Hertha Berlin, 6, 0, Borussia Monchengladbach, "Saturday, December 4, 2004"," Olympiastadion (40,094)"
Nurnberg, 2, 2, Bayern Munich, "Saturday, December 4, 2004"," Frankenstadion (47,359)"
SC Freiburg, 0, 6, Werder Bremen, "Saturday, December 4, 2004"," badenova-Stadion (24,500)"
VfB Stuttgart, 5, 2, VfL Bochum, "Saturday, December 4, 2004"," Gottlieb-Daimler Stadion (35,000)"
Hannover 96, 0, 0, VfB Stuttgart, "Sunday, November 28, 2004"," AWD-Arena (33,538)"
Schalke 04, 2, 1, Arminia Bielefeld, "Sunday, November 28, 2004"," Arena AufSchalke (61,524)"
Bayern Munich, 4, 2, Mainz, "Saturday, November 27, 2004"," Olympiastadion (49,000)"
Borussia Monchengladbach, 1, 3, Hamburg SV, "Saturday, November 27, 2004"," Borussia-Park (52,155)"
