home, homescore, awayscore, away, date, group
Real Betis, 2, 1, Real Madrid, "Saturday, February 16, 2008", "Benito Villamarín (50,000)"
Real Zaragoza, 1, 2, Barcelona, "Saturday, February 16, 2008", "La Romareda "
Athletic Bilbao, 1, 0, Levante, "Sunday, February 10, 2008", "Antiguo San Mamés "
Espanyol, 1, 2, Recreativo Huelva, "Sunday, February 10, 2008", "Estadio Olimpico de Montjuic "
Mallorca, 0, 0, Almeria, "Sunday, February 10, 2008", "Iberostar Estadi "
Osasuna, 1, 0, Real Zaragoza, "Sunday, February 10, 2008", "El Sadar "
Racing Santander, 0, 2, Atletico Madrid, "Sunday, February 10, 2008", "El Sardinero "
Real Madrid, 7, 0, Real Valladolid, "Sunday, February 10, 2008", "Santiago Bernabéu "
Valencia, 3, 1, Real Betis, "Sunday, February 10, 2008", "Mestalla "
Deportivo La Coruña, 1, 1, Getafe, "Saturday, February 9, 2008", "Municipal de Riazor "
Murcia, 0, 1, Villarreal, "Saturday, February 9, 2008", "Nueva Condomina "
Sevilla FC, 1, 1, Barcelona, "Saturday, February 9, 2008", "Ramón Sánchez Pizjuán "
Atletico Madrid, 1, 1, Murcia, "Sunday, February 3, 2008", "Vicente Calderón "
Levante, 1, 1, Racing Santander, "Sunday, February 3, 2008", "Ciutat de València "
Real Valladolid, 0, 2, Valencia, "Sunday, February 3, 2008", "José Zorrilla "
Real Zaragoza, 1, 0, Athletic Bilbao, "Sunday, February 3, 2008", "La Romareda "
Recreativo Huelva, 1, 2, Sevilla FC, "Sunday, February 3, 2008", "Nuevo Colombino "
Villarreal, 1, 1, Mallorca, "Sunday, February 3, 2008", "El Madrigal "
Barcelona, 1, 0, Osasuna, "Sunday, February 3, 2008", "Camp Nou "
Getafe, 0, 1, Espanyol, "Sunday, February 3, 2008", "Coliseum Alfonso Pérez "
Almeria, 2, 0, Real Madrid, "Saturday, February 2, 2008", "Juegos Mediterráneos "
Real Betis, 0, 1, Deportivo La Coruña, "Saturday, February 2, 2008", "Benito Villamarín "
Deportivo La Coruña, 3, 1, Real Valladolid, "Sunday, January 27, 2008", "Municipal de Riazor "
Espanyol, 1, 2, Real Betis, "Sunday, January 27, 2008", "Estadio Olimpico de Montjuic "
Mallorca, 1, 0, Atletico Madrid, "Sunday, January 27, 2008", "Iberostar Estadi "
