home, homescore, awayscore, away, date, group
Borussia Dortmund, 1, 0, SC Freiburg, "Saturday, December 19, 2009", Signal Iduna Park (80,100)
Eintracht Frankfurt, 2, 2, VfL Wolfsburg, "Saturday, December 19, 2009", Commerzbank Arena (41,700)
Hannover 96, 2, 3, VfL Bochum, "Saturday, December 19, 2009", AWD-Arena (33,875)
VfB Stuttgart, 3, 1, TSG Hoffenheim, "Saturday, December 19, 2009", Mercedes-Benz Arena (41,000)
Schalke 04, 1, 0, Mainz, "Friday, December 18, 2009", Veltins-Arena (60,582)
Mainz, 1, 1, VfB Stuttgart, "Sunday, December 13, 2009", Stadion am Bruchweg (20,300)
VfL Wolfsburg, 1, 3, Borussia Dortmund, "Sunday, December 13, 2009", Volkswagen Arena (30,000)
Borussia Monchengladbach, 5, 3, Hannover 96, "Saturday, December 12, 2009", Borussia-Park (43,528)
Nurnberg, 0, 4, Hamburg SV, "Saturday, December 12, 2009", EasyCredit-Stadion (44,865)
SC Freiburg, 0, 0, FC Cologne, "Saturday, December 12, 2009", badenova-Stadion (24,000)
TSG Hoffenheim, 1, 1, Eintracht Frankfurt, "Saturday, December 12, 2009", Rhein-Neckar-Arena (30,150)
VfL Bochum, 1, 5, Bayern Munich, "Saturday, December 12, 2009", rewirpowerSTADION (30,748)
Werder Bremen, 0, 2, Schalke 04, "Saturday, December 12, 2009", Weserstadion (37,000)
Hertha Berlin, 2, 2, Bayer Leverkusen, "Friday, December 11, 2009", Olympiastadion (40,474)
FC Cologne, 0, 0, Werder Bremen, "Sunday, December 6, 2009", RheinEnergieStadion (50,000)
Schalke 04, 2, 0, Hertha Berlin, "Sunday, December 6, 2009", Veltins-Arena (61,000)
Borussia Dortmund, 4, 0, Nurnberg, "Saturday, December 5, 2009", Signal Iduna Park (72,100)
Hamburg SV, 0, 0, TSG Hoffenheim, "Saturday, December 5, 2009", Imtech Arena (52,725)
Hannover 96, 0, 0, Bayer Leverkusen, "Saturday, December 5, 2009", AWD-Arena (34,341)
VfB Stuttgart, 1, 1, VfL Bochum, "Saturday, December 5, 2009", Mercedes-Benz Arena (40,000)
VfL Wolfsburg, 2, 2, SC Freiburg, "Saturday, December 5, 2009", Volkswagen Arena (23,000)
Eintracht Frankfurt, 2, 0, Mainz, "Saturday, December 5, 2009", Commerzbank Arena (51,500)
Bayern Munich, 2, 1, Borussia Monchengladbach, "Friday, December 4, 2009", Allianz Arena (69,000)
