home, homescore, awayscore, away, date, group
Borussia Monchengladbach, 3, 3, Bayern Munich, "Saturday, November 6, 2010", Borussia-Park (54,057)
Eintracht Frankfurt, 3, 1, VfL Wolfsburg, "Saturday, November 6, 2010", Commerzbank Arena (43,800)
Hamburg SV, 2, 1, TSG Hoffenheim, "Saturday, November 6, 2010", Imtech Arena (54,162)
Nurnberg, 3, 1, FC Cologne, "Saturday, November 6, 2010", EasyCredit-Stadion (41,789)
SC Freiburg, 1, 0, Mainz, "Saturday, November 6, 2010", badenova-Stadion (22,400)
Schalke 04, 3, 0, St Pauli, "Friday, November 5, 2010", Veltins-Arena (61,673)
Mainz, 0, 2, Borussia Dortmund, "Sunday, October 31, 2010", Stadion am Bruchweg (20,300)
TSG Hoffenheim, 4, 0, Hannover 96, "Sunday, October 31, 2010", Rhein-Neckar-Arena (28,450)
FC Cologne, 3, 2, Hamburg SV, "Saturday, October 30, 2010", RheinEnergieStadion (50,000)
Kaiserslautern, 3, 0, Borussia Monchengladbach, "Saturday, October 30, 2010", Fritz-Walter-Stadion (49,167)
St Pauli, 1, 3, Eintracht Frankfurt, "Saturday, October 30, 2010", Millerntor-Stadion (24,330)
VfL Wolfsburg, 2, 0, VfB Stuttgart, "Saturday, October 30, 2010", Volkswagen Arena (29,043)
Werder Bremen, 2, 3, Nurnberg, "Saturday, October 30, 2010", Weserstadion (35,500)
Schalke 04, 0, 1, Bayer Leverkusen, "Saturday, October 30, 2010", Veltins-Arena (61,673)
Bayern Munich, 4, 2, SC Freiburg, "Friday, October 29, 2010", Allianz Arena (69,000)
Borussia Dortmund, 1, 1, TSG Hoffenheim, "Sunday, October 24, 2010", Signal Iduna Park (80,720)
Bayer Leverkusen, 0, 1, Mainz, "Sunday, October 24, 2010", BayArena (30,210)
VfB Stuttgart, 2, 0, St Pauli, "Sunday, October 24, 2010", Mercedes-Benz Arena (40,000)
Borussia Monchengladbach, 1, 4, Werder Bremen, "Saturday, October 23, 2010", Borussia-Park (53,511)
Eintracht Frankfurt, 0, 0, Schalke 04, "Saturday, October 23, 2010", Commerzbank Arena (51,500)
Hannover 96, 2, 1, FC Cologne, "Saturday, October 23, 2010", AWD-Arena (44,214)
Nurnberg, 2, 1, VfL Wolfsburg, "Saturday, October 23, 2010", EasyCredit-Stadion (40,127)
SC Freiburg, 2, 1, Kaiserslautern, "Saturday, October 23, 2010", badenova-Stadion (24,500)
Hamburg SV, 0, 0, Bayern Munich, "Friday, October 22, 2010", Imtech Arena (57,000)
Kaiserslautern, 0, 3, Eintracht Frankfurt, "Sunday, October 17, 2010", Fritz-Walter-Stadion (49,780)
TSG Hoffenheim, 3, 2, Borussia Monchengladbach, "Sunday, October 17, 2010", Rhein-Neckar-Arena (30,150)
Bayern Munich, 3, 0, Hannover 96, "Saturday, October 16, 2010", Allianz Arena (69,000)
Mainz, 0, 1, Hamburg SV, "Saturday, October 16, 2010", Stadion am Bruchweg (20,300)
Schalke 04, 2, 2, VfB Stuttgart, "Saturday, October 16, 2010", Veltins-Arena (60,000)
St Pauli, 3, 2, Nurnberg, "Saturday, October 16, 2010", Millerntor-Stadion (24,334)
Werder Bremen, 2, 1, SC Freiburg, "Saturday, October 16, 2010", Weserstadion (34,500)
VfL Wolfsburg, 2, 3, Bayer Leverkusen, "Saturday, October 16, 2010", Volkswagen Arena (30,000)
FC Cologne, 1, 2, Borussia Dortmund, "Friday, October 15, 2010", RheinEnergieStadion (50,000)
VfB Stuttgart, 1, 2, Eintracht Frankfurt, "Sunday, October 3, 2010", Mercedes-Benz Arena (40,200)
Bayer Leverkusen, 2, 2, Werder Bremen, "Sunday, October 3, 2010", BayArena (30,210)
Borussia Dortmund, 2, 0, Bayern Munich, "Sunday, October 3, 2010", Signal Iduna Park (80,720)
Borussia Monchengladbach, 1, 1, VfL Wolfsburg, "Saturday, October 2, 2010", Borussia-Park (40,423)
Hamburg SV, 2, 1, Kaiserslautern, "Saturday, October 2, 2010", Imtech Arena (57,000)
Mainz, 4, 2, TSG Hoffenheim, "Saturday, October 2, 2010", Stadion am Bruchweg (20,100)
Nurnberg, 2, 1, Schalke 04, "Saturday, October 2, 2010", EasyCredit-Stadion (48,548)
SC Freiburg, 3, 2, FC Cologne, "Saturday, October 2, 2010", badenova-Stadion (22,100)
Hannover 96, 0, 1, St Pauli, "Friday, October 1, 2010", AWD-Arena (49,000)
VfL Wolfsburg, 2, 1, SC Freiburg, "Sunday, September 26, 2010", Volkswagen Arena (26,204)
Kaiserslautern, 0, 1, Hannover 96, "Sunday, September 26, 2010", Fritz-Walter-Stadion (40,000)
Bayern Munich, 1, 2, Mainz, "Saturday, September 25, 2010", Allianz Arena (69,000)
Eintracht Frankfurt, 2, 0, Nurnberg, "Saturday, September 25, 2010", Commerzbank Arena (43,100)
Schalke 04, 2, 2, Borussia Monchengladbach, "Saturday, September 25, 2010", Veltins-Arena (61,673)
St Pauli, 1, 3, Borussia Dortmund, "Saturday, September 25, 2010", Millerntor-Stadion (24,082)
VfB Stuttgart, 1, 4, Bayer Leverkusen, "Saturday, September 25, 2010", Mercedes-Benz Arena (38,300)
Werder Bremen, 3, 2, Hamburg SV, "Saturday, September 25, 2010", Weserstadion (36,300)
FC Cologne, 1, 1, TSG Hoffenheim, "Friday, September 24, 2010", RheinEnergieStadion (45,000)
Bayer Leverkusen, 2, 1, Eintracht Frankfurt, "Wednesday, September 22, 2010", BayArena (24,404)
Borussia Dortmund, 5, 0, Kaiserslautern, "Wednesday, September 22, 2010", Signal Iduna Park (70,100)
Borussia Monchengladbach, 1, 2, St Pauli, "Wednesday, September 22, 2010", Borussia-Park (41,000)
