home, homescore, awayscore, away, date, group
Arminia Bielefeld, 1, 1, VfL Bochum, "Saturday, February 21, 2009", SchÃ¼coArena (20,200)
Bayern Munich, 1, 2, FC Cologne, "Saturday, February 21, 2009", Allianz Arena (69,000)
Borussia Monchengladbach, 3, 2, Hannover 96, "Saturday, February 21, 2009", Borussia-Park (37,000)
Energie Cottbus, 2, 1, Werder Bremen, "Saturday, February 21, 2009", Stadion der Freundschaft (40,780)
Karlsruhe, 0, 1, Eintracht Frankfurt, "Saturday, February 21, 2009", Wildparkstadion (27,600)
VfB Stuttgart, 3, 3, TSG Hoffenheim, "Saturday, February 21, 2009", Mercedes-Benz Arena (54,000)
VfL Wolfsburg, 2, 1, Hertha Berlin, "Saturday, February 21, 2009", Volkswagen Arena (29,300)
Schalke 04, 1, 1, Borussia Dortmund, "Friday, February 20, 2009", Veltins-Arena (61,673)
Borussia Dortmund, 1, 1, Energie Cottbus, "Sunday, February 15, 2009", Signal Iduna Park (66,300)
Hamburg SV, 2, 0, Arminia Bielefeld, "Sunday, February 15, 2009", Imtech Arena (53,292)
Eintracht Frankfurt, 0, 2, VfL Wolfsburg, "Saturday, February 14, 2009", Commerzbank Arena (35,600)
FC Cologne, 0, 0, Karlsruhe, "Saturday, February 14, 2009", RheinEnergieStadion (48,000)
Hannover 96, 3, 3, VfB Stuttgart, "Saturday, February 14, 2009", AWD-Arena (31,127)
Hertha Berlin, 2, 1, Bayern Munich, "Saturday, February 14, 2009", Olympiastadion (74,244)
VfL Bochum, 2, 1, Schalke 04, "Saturday, February 14, 2009", rewirpowerSTADION (31,000)
Werder Bremen, 1, 1, Borussia Monchengladbach, "Saturday, February 14, 2009", Weserstadion (41,232)
TSG Hoffenheim, 1, 4, Bayer Leverkusen, "Friday, February 13, 2009", WIRSOL Rhein-Neckar-Arena (30,150)
Bayern Munich, 3, 1, Borussia Dortmund, "Sunday, February 8, 2009", Allianz Arena (69,000)
Energie Cottbus, 3, 1, Hannover 96, "Sunday, February 8, 2009", Stadion der Freundschaft (12,980)
Bayer Leverkusen, 2, 4, VfB Stuttgart, "Saturday, February 7, 2009", ESPRIT arena (32,000)
Borussia Monchengladbach, 1, 1, TSG Hoffenheim, "Saturday, February 7, 2009", Borussia-Park (42,421)
Eintracht Frankfurt, 2, 2, FC Cologne, "Saturday, February 7, 2009", Commerzbank Arena (51,300)
Karlsruhe, 3, 2, Hamburg SV, "Saturday, February 7, 2009", Wildparkstadion (28,000)
Schalke 04, 1, 0, Werder Bremen, "Saturday, February 7, 2009", Veltins-Arena (61,673)
VfL Wolfsburg, 2, 0, VfL Bochum, "Saturday, February 7, 2009", Volkswagen Arena (26,177)
Arminia Bielefeld, 1, 1, Hertha Berlin, "Friday, February 6, 2009", SchÃ¼coArena 
VfL Bochum, 2, 0, Karlsruhe, "Sunday, February 1, 2009", rewirpowerSTADION (20,154)
